PassengerId,Survived,Pclass,Sex,Age,Embarked,Missing_Age,SharedTicket,TicketGroupSize,IndividualFare,Solo,DeckKnown
109,0,3,male,38.0,S,0,0,1,7.8958,1,0
110,1,3,female,,Q,1,1,3,8.049999999999999,0,0
111,0,1,male,47.0,S,0,1,2,26.0,0,1
112,0,3,female,14.5,C,0,1,2,7.2271,0,0
113,0,3,male,22.0,S,0,0,1,8.05,1,0
114,0,3,female,20.0,S,0,0,1,9.825,0,0
115,0,3,female,17.0,C,0,1,2,7.22915,0,0
116,0,3,male,21.0,S,0,0,1,7.925,1,0
117,0,3,male,70.5,Q,0,0,1,7.75,1,0
118,0,2,male,29.0,S,0,1,2,10.5,0,0
119,0,1,male,24.0,C,0,1,2,123.7604,0,1
120,0,3,female,2.0,S,0,1,7,4.4678571428571425,0,0
121,0,2,male,21.0,S,0,1,5,14.7,0,0
122,0,3,male,,S,1,0,1,8.05,1,0
123,0,2,male,32.5,C,0,1,2,15.0354,0,0
124,1,2,female,32.5,S,0,0,1,13.0,1,1
125,0,1,male,54.0,S,0,1,2,38.64375,0,1
126,1,3,male,12.0,C,0,1,2,5.62085,0,0
127,0,3,male,,Q,1,0,1,7.75,1,0
128,1,3,male,24.0,S,0,0,1,7.1417,1,0
129,1,3,female,,C,1,1,2,11.17915,0,1
130,0,3,male,45.0,S,0,0,1,6.975,1,0
131,0,3,male,33.0,C,0,0,1,7.8958,1,0
132,0,3,male,20.0,S,0,0,1,7.05,1,0
133,0,3,female,47.0,S,0,0,1,14.5,0,0
134,1,2,female,29.0,S,0,0,1,26.0,0,0
135,0,2,male,25.0,S,0,0,1,13.0,1,0
136,0,2,male,23.0,C,0,0,1,15.0458,1,0
137,1,1,female,19.0,S,0,0,1,26.2833,0,1
138,0,1,male,37.0,S,0,1,2,26.55,0,1
139,0,3,male,16.0,S,0,1,2,4.60835,0,0
140,0,1,male,24.0,C,0,1,2,39.6,0,1
141,0,3,female,,C,1,1,2,7.6229,0,0
142,1,3,female,22.0,S,0,0,1,7.75,1,0
143,1,3,female,24.0,S,0,1,2,7.925,0,0
144,0,3,male,19.0,Q,0,0,1,6.75,1,0
145,0,2,male,18.0,S,0,0,1,11.5,1,0
146,0,2,male,19.0,S,0,1,2,18.375,0,0
147,1,3,male,27.0,S,0,0,1,7.7958,1,0
148,0,3,female,9.0,S,0,1,4,8.59375,0,0
149,0,2,male,36.5,S,0,1,3,8.666666666666666,0,1
150,0,2,male,42.0,S,0,0,1,13.0,1,0
151,0,2,male,51.0,S,0,0,1,12.525,1,0
152,1,1,female,22.0,S,0,1,2,33.3,0,1
153,0,3,male,55.5,S,0,0,1,8.05,1,0
154,0,3,male,40.5,S,0,0,1,14.5,0,0
155,0,3,male,,S,1,0,1,7.3125,1,0
156,0,1,male,51.0,C,0,0,1,61.3792,0,0
157,1,3,female,16.0,Q,0,0,1,7.7333,1,0
158,0,3,male,30.0,S,0,0,1,8.05,1,0
159,0,3,male,,S,1,0,1,8.6625,1,0
160,0,3,male,,S,1,1,7,9.935714285714285,0,0
161,0,3,male,44.0,S,0,0,1,16.1,0,0
162,1,2,female,40.0,S,0,0,1,15.75,1,0
163,0,3,male,26.0,S,0,0,1,7.775,1,0
164,0,3,male,17.0,S,0,0,1,8.6625,1,0
165,0,3,male,1.0,S,0,1,6,6.614583333333333,0,0
166,1,3,male,9.0,S,0,1,3,6.841666666666666,0,0
167,1,1,female,,S,1,1,2,27.5,0,1
168,0,3,female,45.0,S,0,1,6,4.6499999999999995,0,0
169,0,1,male,,S,1,0,1,25.925,1,0
170,0,3,male,28.0,S,0,1,7,8.070828571428573,0,0
171,0,1,male,61.0,S,0,0,1,33.5,1,1
172,0,3,male,4.0,Q,0,1,5,5.825,0,0
173,1,3,female,1.0,S,0,1,3,3.7111,0,0
174,0,3,male,21.0,S,0,0,1,7.925,1,0
175,0,1,male,56.0,C,0,0,1,30.6958,1,1
176,0,3,male,18.0,S,0,0,1,7.8542,0,0
177,0,3,male,,S,1,1,4,6.366675,0,0
178,0,1,female,50.0,C,0,0,1,28.7125,1,1
179,0,2,male,30.0,S,0,0,1,13.0,1,0
180,0,3,male,36.0,S,0,1,4,0.0,0,0
181,0,3,female,,S,1,1,7,9.935714285714285,0,0
182,0,2,male,,C,1,0,1,15.05,1,0
183,0,3,male,9.0,S,0,1,4,7.846875,0,0
184,1,2,male,1.0,S,0,1,2,19.5,0,1
185,1,3,female,4.0,S,0,0,1,22.025,0,0
186,0,1,male,,S,1,0,1,50.0,1,1
187,1,3,female,,Q,1,1,2,7.75,0,0
188,1,1,male,45.0,S,0,0,1,26.55,1,0
189,0,3,male,40.0,Q,0,1,2,7.75,0,0
190,0,3,male,36.0,S,0,0,1,7.8958,1,0
191,1,2,female,32.0,S,0,0,1,13.0,1,0
192,0,2,male,19.0,S,0,0,1,13.0,1,0
193,1,3,female,19.0,S,0,0,1,7.8542,0,0
194,1,2,male,3.0,S,0,1,3,8.666666666666666,0,1
195,1,1,female,44.0,C,0,0,1,27.7208,1,1
196,1,1,female,58.0,C,0,1,2,73.2604,0,1
197,0,3,male,,Q,1,0,1,7.75,1,0
198,0,3,male,42.0,S,0,0,1,8.4042,0,0
199,1,3,female,,Q,1,0,1,7.75,1,0
200,0,2,female,24.0,S,0,0,1,13.0,1,0
201,0,3,male,28.0,S,0,0,1,9.5,1,0
202,0,3,male,,S,1,1,7,9.935714285714285,0,0
203,0,3,male,34.0,S,0,0,1,6.4958,1,0
204,0,3,male,45.5,C,0,0,1,7.225,1,0
205,1,3,male,18.0,S,0,0,1,8.05,1,0
206,0,3,female,2.0,S,0,1,2,5.23125,0,1
207,0,3,male,32.0,S,0,1,2,7.925,0,0
208,1,3,male,26.0,C,0,1,2,9.39375,0,0
209,1,3,female,16.0,Q,0,0,1,7.75,1,0
210,1,1,male,40.0,C,0,0,1,31.0,1,1
211,0,3,male,24.0,S,0,0,1,7.05,1,0
212,1,2,female,35.0,S,0,0,1,21.0,1,0
213,0,3,male,22.0,S,0,0,1,7.25,1,0
214,0,2,male,30.0,S,0,0,1,13.0,1,0
215,0,3,male,,Q,1,0,1,7.75,0,0
216,1,1,female,31.0,C,0,1,3,37.75833333333333,0,1
217,1,3,female,27.0,S,0,0,1,7.925,1,0
218,0,2,male,42.0,S,0,1,2,13.5,0,0
219,1,1,female,32.0,C,0,0,1,76.2917,1,1
220,0,2,male,30.0,S,0,0,1,10.5,1,0
221,1,3,male,16.0,S,0,0,1,8.05,1,0
222,0,2,male,27.0,S,0,0,1,13.0,1,0
223,0,3,male,51.0,S,0,0,1,8.05,1,0
224,0,3,male,,S,1,0,1,7.8958,1,0
225,1,1,male,38.0,S,0,1,2,45.0,0,1
226,0,3,male,22.0,S,0,0,1,9.35,1,0
227,1,2,male,19.0,S,0,0,1,10.5,1,0
228,0,3,male,20.5,S,0,0,1,7.25,1,0
229,0,2,male,18.0,S,0,0,1,13.0,1,0
230,0,3,female,,S,1,1,4,6.366675,0,0
231,1,1,female,35.0,S,0,1,2,41.7375,0,1
232,0,3,male,29.0,S,0,0,1,7.775,1,0
233,0,2,male,59.0,S,0,0,1,13.5,1,0
234,1,3,female,5.0,S,0,1,4,7.846875,0,0
235,0,2,male,24.0,S,0,0,1,10.5,1,0
236,0,3,female,,S,1,0,1,7.55,1,0
237,0,2,male,44.0,S,0,0,1,26.0,0,0
238,1,2,female,8.0,S,0,1,3,8.75,0,0
239,0,2,male,19.0,S,0,0,1,10.5,1,0
240,0,2,male,33.0,S,0,0,1,12.275,1,0
241,0,3,female,,C,1,1,2,7.2271,0,0
242,1,3,female,,Q,1,1,2,7.75,0,0
243,0,2,male,29.0,S,0,0,1,10.5,1,0
244,0,3,male,22.0,S,0,0,1,7.125,1,0
245,0,3,male,30.0,C,0,0,1,7.225,1,0
246,0,1,male,44.0,Q,0,1,2,45.0,0,1
247,0,3,female,25.0,S,0,0,1,7.775,1,0
248,1,2,female,24.0,S,0,1,2,7.25,0,0
249,1,1,male,37.0,S,0,1,2,26.2771,0,1
250,0,2,male,54.0,S,0,1,2,13.0,0,0
251,0,3,male,,S,1,0,1,7.25,1,0
252,0,3,female,29.0,S,0,1,2,5.23125,0,1
253,0,1,male,62.0,S,0,0,1,26.55,1,1
254,0,3,male,30.0,S,0,1,2,8.05,0,0
255,0,3,female,41.0,S,0,1,2,10.10625,0,0
256,1,3,female,29.0,C,0,0,1,15.2458,0,0
257,1,1,female,,C,1,0,1,79.2,1,0
258,1,1,female,30.0,S,0,1,3,28.833333333333332,0,1
259,1,1,female,35.0,C,0,1,3,170.7764,0,0
260,1,2,female,50.0,S,0,1,2,13.0,0,0
261,0,3,male,,Q,1,0,1,7.75,1,0
262,1,3,male,3.0,S,0,1,4,7.846875,0,0
263,0,1,male,52.0,S,0,1,3,26.55,0,1
264,0,1,male,40.0,S,0,0,1,0.0,1,1
265,0,3,female,,Q,1,0,1,7.75,1,0
266,0,2,male,36.0,S,0,0,1,10.5,1,0
267,0,3,male,16.0,S,0,1,6,6.614583333333333,0,0
268,1,3,male,25.0,S,0,0,1,7.775,0,0
269,1,1,female,58.0,S,0,1,3,51.15416666666667,0,1
270,1,1,female,35.0,S,0,1,3,45.211099999999995,0,1
271,0,1,male,,S,1,1,2,15.5,0,0
272,1,3,male,25.0,S,0,1,4,0.0,0,0
273,1,2,female,41.0,S,0,1,2,9.75,0,0
274,0,1,male,37.0,C,0,0,1,29.7,0,1
275,1,3,female,,Q,1,0,1,7.75,1,0
276,1,1,female,63.0,S,0,1,3,25.986099999999997,0,1
277,0,3,female,45.0,S,0,0,1,7.75,1,0
278,0,2,male,,S,1,1,3,0.0,0,0
279,0,3,male,7.0,Q,0,1,5,5.825,0,0
280,1,3,female,35.0,S,0,1,2,10.125,0,0
281,0,3,male,65.0,Q,0,0,1,7.75,1,0
282,0,3,male,28.0,S,0,0,1,7.8542,1,0
283,0,3,male,16.0,S,0,0,1,9.5,1,0
284,1,3,male,19.0,S,0,0,1,8.05,1,0
285,0,1,male,,S,1,0,1,26.0,1,1
286,0,3,male,33.0,C,0,0,1,8.6625,1,0
287,1,3,male,30.0,S,0,0,1,9.5,1,0
288,0,3,male,22.0,S,0,0,1,7.8958,1,0
289,1,2,male,42.0,S,0,0,1,13.0,1,0
290,1,3,female,22.0,Q,0,0,1,7.75,1,0
291,1,1,female,26.0,S,0,1,2,39.425,0,0
292,1,1,female,19.0,C,0,1,2,45.5396,0,1
293,0,2,male,36.0,C,0,0,1,12.875,1,1
294,0,3,female,24.0,S,0,0,1,8.85,1,0
295,0,3,male,24.0,S,0,0,1,7.8958,1,0
296,0,1,male,,C,1,0,1,27.7208,1,0
297,0,3,male,23.5,C,0,0,1,7.2292,1,0
298,0,1,female,2.0,S,0,1,4,37.8875,0,1
299,1,1,male,,S,1,0,1,30.5,1,1
300,1,1,female,50.0,C,0,1,2,123.7604,0,1
301,1,3,female,,Q,1,0,1,7.75,1,0
302,1,3,male,,Q,1,1,2,11.625,0,0
303,0,3,male,19.0,S,0,1,4,0.0,0,0
304,1,2,female,,Q,1,0,1,12.35,1,1
305,0,3,male,,S,1,0,1,8.05,1,0
306,1,1,male,0.92,S,0,1,4,37.8875,0,1
307,1,1,female,,C,1,1,4,27.720825,0,0
308,1,1,female,17.0,C,0,1,2,54.45,0,1
309,0,2,male,30.0,C,0,1,2,12.0,0,0
310,1,1,female,30.0,C,0,1,2,28.4646,0,1
311,1,1,female,24.0,C,0,1,2,41.57915,0,1
312,1,1,female,18.0,C,0,1,2,131.1875,0,1
313,0,2,female,26.0,S,0,0,1,26.0,0,0
314,0,3,male,28.0,S,0,0,1,7.8958,1,0
315,0,2,male,43.0,S,0,1,3,8.75,0,0
316,1,3,female,26.0,S,0,0,1,7.8542,1,0
317,1,2,female,24.0,S,0,1,2,13.0,0,0
318,0,2,male,54.0,S,0,0,1,14.0,1,0
319,1,1,female,31.0,S,0,1,2,82.43335,0,1
320,1,1,female,40.0,C,0,1,2,67.25,0,1
321,0,3,male,22.0,S,0,0,1,7.25,1,0
322,0,3,male,27.0,S,0,0,1,7.8958,1,0
323,1,2,female,30.0,Q,0,0,1,12.35,1,0
324,1,2,female,22.0,S,0,1,2,14.5,0,0
325,0,3,male,,S,1,1,7,9.935714285714285,0,0
326,1,1,female,36.0,C,0,1,3,45.211099999999995,0,1
327,0,3,male,61.0,S,0,0,1,6.2375,1,0
328,1,2,female,36.0,S,0,0,1,13.0,1,1
329,1,3,female,31.0,S,0,1,3,6.841666666666666,0,0
330,1,1,female,16.0,C,0,1,2,28.9896,0,1
331,1,3,female,,Q,1,1,2,11.625,0,0
332,0,1,male,45.5,S,0,0,1,28.5,1,1
333,0,1,male,38.0,S,0,1,3,51.15416666666667,0,1
334,0,3,male,16.0,S,0,1,2,9.0,0,0
335,1,1,female,,S,1,1,2,66.825,0,0
336,0,3,male,,S,1,0,1,7.8958,1,0
337,0,1,male,29.0,S,0,1,2,33.3,0,1
338,1,1,female,41.0,C,0,1,2,67.25,0,1
339,1,3,male,45.0,S,0,0,1,8.05,1,0
340,0,1,male,45.0,S,0,0,1,35.5,1,1
341,1,2,male,2.0,S,0,1,3,8.666666666666666,0,1
342,1,1,female,24.0,S,0,1,4,65.75,0,1
343,0,2,male,28.0,S,0,0,1,13.0,1,0
344,0,2,male,25.0,S,0,0,1,13.0,1,0
345,0,2,male,36.0,S,0,0,1,13.0,1,0
346,1,2,female,24.0,S,0,0,1,13.0,1,1
347,1,2,female,40.0,S,0,0,1,13.0,1,0
348,1,3,female,,S,1,0,1,16.1,0,0
349,1,3,male,3.0,S,0,1,2,7.95,0,0
350,0,3,male,42.0,S,0,0,1,8.6625,1,0
351,0,3,male,23.0,S,0,0,1,9.225,1,0
352,0,1,male,,S,1,0,1,35.0,1,1
353,0,3,male,15.0,C,0,0,1,7.2292,0,0
354,0,3,male,25.0,S,0,1,2,8.9,0,0
355,0,3,male,,C,1,0,1,7.225,1,0
356,0,3,male,28.0,S,0,0,1,9.5,1,0
357,1,1,female,22.0,S,0,1,2,27.5,0,1
358,0,2,female,38.0,S,0,0,1,13.0,1,0
359,1,3,female,,Q,1,0,1,7.8792,1,0
360,1,3,female,,Q,1,0,1,7.8792,1,0
361,0,3,male,40.0,S,0,1,6,4.6499999999999995,0,0
362,0,2,male,29.0,C,0,0,1,27.7208,0,0
363,0,3,female,45.0,C,0,1,2,7.2271,0,0
364,0,3,male,35.0,S,0,0,1,7.05,1,0
365,0,3,male,,Q,1,1,2,7.75,0,0
366,0,3,male,30.0,S,0,0,1,7.25,1,0
367,1,1,female,60.0,C,0,0,1,75.25,0,1
368,1,3,female,,C,1,0,1,7.2292,1,0
369,1,3,female,,Q,1,0,1,7.75,1,0
370,1,1,female,24.0,C,0,1,2,34.65,0,1
371,1,1,male,25.0,C,0,0,1,55.4417,0,1
372,0,3,male,18.0,S,0,0,1,6.4958,0,0
373,0,3,male,19.0,S,0,0,1,8.05,1,0
374,0,1,male,22.0,C,0,1,3,45.211099999999995,0,0
375,0,3,female,3.0,S,0,1,4,5.26875,0,0
376,1,1,female,,C,1,1,2,41.0854,0,0
377,1,3,female,22.0,S,0,0,1,7.25,1,0
378,0,1,male,27.0,C,0,0,1,211.5,0,1
379,0,3,male,20.0,C,0,0,1,4.0125,1,0
380,0,3,male,19.0,S,0,0,1,7.775,1,0
381,1,1,female,42.0,C,0,1,4,56.88125,0,0
382,1,3,female,1.0,C,0,1,2,7.87085,0,0
383,0,3,male,32.0,S,0,0,1,7.925,1,0
384,1,1,female,35.0,S,0,1,2,26.0,0,0
385,0,3,male,,S,1,0,1,7.8958,1,0
386,0,2,male,18.0,S,0,1,5,14.7,0,0
387,0,3,male,1.0,S,0,1,6,7.816666666666666,0,0
388,1,2,female,36.0,S,0,0,1,13.0,1,0
389,0,3,male,,Q,1,0,1,7.7292,1,0
390,1,2,female,17.0,C,0,0,1,12.0,1,0
391,1,1,male,36.0,S,0,1,4,30.0,0,1
392,1,3,male,21.0,S,0,0,1,7.7958,1,0
393,0,3,male,28.0,S,0,0,1,7.925,0,0
394,1,1,female,23.0,C,0,1,3,37.75833333333333,0,1
395,1,3,female,24.0,S,0,1,2,8.35,0,1
396,0,3,male,22.0,S,0,0,1,7.7958,1,0
397,0,3,female,31.0,S,0,0,1,7.8542,1,0
398,0,2,male,46.0,S,0,1,2,13.0,0,0
399,0,2,male,23.0,S,0,0,1,10.5,1,0
400,1,2,female,28.0,S,0,0,1,12.65,1,0
401,1,3,male,39.0,S,0,0,1,7.925,1,0
402,0,3,male,26.0,S,0,0,1,8.05,1,0
403,0,3,female,21.0,S,0,0,1,9.825,0,0
404,0,3,male,28.0,S,0,1,2,7.925,0,0
405,0,3,female,20.0,S,0,0,1,8.6625,1,0
406,0,2,male,34.0,S,0,0,1,21.0,0,0
407,0,3,male,51.0,S,0,0,1,7.75,1,0
408,1,2,male,3.0,S,0,1,3,6.25,0,0
409,0,3,male,21.0,S,0,0,1,7.775,1,0
410,0,3,female,,S,1,1,4,6.366675,0,0
411,0,3,male,,S,1,0,1,7.8958,1,0
412,0,3,male,,Q,1,0,1,6.8583,1,0
413,1,1,female,33.0,Q,0,1,2,45.0,0,1
414,0,2,male,,S,1,1,3,0.0,0,0
415,1,3,male,44.0,S,0,0,1,7.925,1,0
416,0,3,female,,S,1,0,1,8.05,1,0
417,1,2,female,34.0,S,0,0,1,32.5,0,0
418,1,2,female,18.0,S,0,0,1,13.0,0,0
419,0,2,male,30.0,S,0,0,1,13.0,1,0
420,0,3,female,10.0,S,0,1,3,8.049999999999999,0,0
421,0,3,male,,C,1,0,1,7.8958,1,0
422,0,3,male,21.0,Q,0,0,1,7.7333,1,0
423,0,3,male,29.0,S,0,0,1,7.875,1,0
424,0,3,female,28.0,S,0,1,2,7.2,0,0
425,0,3,male,18.0,S,0,1,2,10.10625,0,0
426,0,3,male,,S,1,0,1,7.25,1,0
427,1,2,female,28.0,S,0,0,1,26.0,0,0
428,1,2,female,19.0,S,0,1,2,13.0,0,0
429,0,3,male,,Q,1,0,1,7.75,1,0
430,1,3,male,32.0,S,0,0,1,8.05,1,1
431,1,1,male,28.0,S,0,0,1,26.55,1,1
432,1,3,female,,S,1,1,2,8.05,0,0
433,1,2,female,42.0,S,0,0,1,26.0,0,0
434,0,3,male,17.0,S,0,0,1,7.125,1,0
435,0,1,male,50.0,S,0,1,2,27.95,0,1
436,1,1,female,14.0,S,0,1,4,30.0,0,1
437,0,3,female,21.0,S,0,1,4,8.59375,0,0
438,1,2,female,24.0,S,0,1,3,6.25,0,0
439,0,1,male,64.0,S,0,1,4,65.75,0,1
440,0,2,male,31.0,S,0,0,1,10.5,1,0
441,1,2,female,45.0,S,0,1,3,8.75,0,0
442,0,3,male,20.0,S,0,0,1,9.5,1,0
443,0,3,male,25.0,S,0,0,1,7.775,0,0
444,1,2,female,28.0,S,0,0,1,13.0,1,0
445,1,3,male,,S,1,0,1,8.1125,1,0
446,1,1,male,4.0,S,0,0,1,81.8583,0,1
447,1,2,female,13.0,S,0,1,2,9.75,0,0
448,1,1,male,34.0,S,0,0,1,26.55,1,0
449,1,3,female,5.0,C,0,1,4,4.814575,0,0
450,1,1,male,52.0,S,0,0,1,30.5,1,1
451,0,2,male,36.0,S,0,1,3,9.25,0,0
452,0,3,male,,S,1,0,1,19.9667,0,0
453,0,1,male,30.0,C,0,0,1,27.75,1,1
454,1,1,male,49.0,C,0,1,2,44.5521,0,1
455,0,3,male,,S,1,0,1,8.05,1,0
456,1,3,male,29.0,C,0,0,1,7.8958,1,0
457,0,1,male,65.0,S,0,0,1,26.55,1,1
458,1,1,female,,S,1,0,1,51.8625,0,1
459,1,2,female,50.0,S,0,0,1,10.5,1,0
460,0,3,male,,Q,1,0,1,7.75,1,0
461,1,1,male,48.0,S,0,0,1,26.55,1,1
462,0,3,male,34.0,S,0,0,1,8.05,1,0
463,0,1,male,47.0,S,0,0,1,38.5,1,1
464,0,2,male,48.0,S,0,0,1,13.0,1,0
465,0,3,male,,S,1,0,1,8.05,1,0
466,0,3,male,38.0,S,0,0,1,7.05,1,0
467,0,2,male,,S,1,1,3,0.0,0,0
468,0,1,male,56.0,S,0,0,1,26.55,1,0
469,0,3,male,,Q,1,0,1,7.725,1,0
470,1,3,female,0.75,C,0,1,4,4.814575,0,0
471,0,3,male,,S,1,0,1,7.25,1,0
472,0,3,male,38.0,S,0,0,1,8.6625,1,0
473,1,2,female,33.0,S,0,1,3,9.25,0,0
474,1,2,female,23.0,C,0,0,1,13.7917,1,1
475,0,3,female,22.0,S,0,0,1,9.8375,1,0
476,0,1,male,,S,1,1,2,26.0,0,1
477,0,2,male,34.0,S,0,1,2,10.5,0,0
478,0,3,male,29.0,S,0,0,1,7.0458,0,0
479,0,3,male,22.0,S,0,0,1,7.5208,1,0
480,1,3,female,2.0,S,0,0,1,12.2875,0,0
481,0,3,male,9.0,S,0,1,6,7.816666666666666,0,0
482,0,2,male,,S,1,0,1,0.0,1,0
483,0,3,male,50.0,S,0,0,1,8.05,1,0
484,1,3,female,63.0,S,0,0,1,9.5875,1,0
485,1,1,male,25.0,C,0,1,2,45.5396,0,1
486,0,3,female,,S,1,1,4,6.366675,0,0
487,1,1,female,35.0,S,0,1,2,45.0,0,1
488,0,1,male,58.0,C,0,0,1,29.7,1,1
489,0,3,male,30.0,S,0,0,1,8.05,1,0
490,1,3,male,9.0,S,0,1,2,7.95,0,0
491,0,3,male,,S,1,0,1,19.9667,0,0
492,0,3,male,21.0,S,0,0,1,7.25,1,0
493,0,1,male,55.0,S,0,0,1,30.5,1,1
